"source_peptide","target","group","fold","fraction_true","pred_mean","pred_median","n_peptide","n_pos","pred_min","pred_max","longest_pos","n_pos_10","frac_0_0.2","frac_0.2_0.4","frac_0.4_0.6","frac_0.6_0.8","frac_0.8_1"
"AMP1","TRUE","(36,60]",2,0.470588235294118,0.493640612956391,0.482731392273328,34,16,0.206507825557433,0.828118014185776,12,1,0,0.352941176470588,0.411764705882353,0.205882352941176,0.0294117647058824
"AMP1000","TRUE","[11,19]",3,1,0.812317209682236,0.845727562720472,8,8,0.710556926874379,0.885549795255648,8,0,0,0,0,0.375,0.625
"AMP1001","TRUE","(19,26]",1,1,0.908822859619198,0.894717966014225,14,14,0.849098029026215,0.979134445849346,14,1,0,0,0,0,1
"AMP1004","TRUE","(19,26]",1,1,0.838082661836843,0.845762638042095,15,15,0.628800843658703,0.99614264254059,15,1,0,0,0,0.466666666666667,0.533333333333333
"AMP1005","TRUE","(19,26]",5,1,0.971762562581392,0.970085907684999,15,15,0.951921023736192,0.99314823079308,15,1,0,0,0,0,1
"AMP1009","TRUE","(19,26]",5,1,0.871391012329039,0.866856579522853,15,15,0.678054247831364,0.985540469394968,15,1,0,0,0,0.2,0.8
"AMP101","TRUE","(60,710]",2,0.142276422764228,0.322353437967114,0.309936705124502,246,35,0.058972720846953,0.92505854482162,9,0,0.268292682926829,0.426829268292683,0.264227642276423,0.032520325203252,0.00813008130081301
"AMP1011","TRUE","[11,19]",4,0,0.278704124310675,0.270646677031375,5,0,0.209757627630641,0.357699752506027,0,0,0,1,0,0,0
"AMP1012","TRUE","[11,19]",2,1,0.85935907759165,0.860041090964519,4,4,0.849402998275328,0.867951130162233,4,0,0,0,0,0,1
"AMP1013","TRUE","(19,26]",3,1,0.971753595804482,0.978185642874418,15,15,0.943740487455917,0.988754262729852,15,1,0,0,0,0,1
"AMP1015","TRUE","(19,26]",2,1,0.970613598770688,0.975348605311105,15,15,0.937093254005519,0.986447233876801,15,1,0,0,0,0,1
"AMP1018","TRUE","[11,19]",2,1,0.788703824773743,0.788875859843007,10,10,0.739285653722232,0.83729922478549,10,1,0,0,0,0.7,0.3
"AMP1020","TRUE","(19,26]",5,1,0.967091011107099,0.965283485797524,15,15,0.913091139401032,0.994124836104107,15,1,0,0,0,0,1
"AMP1021","TRUE","(19,26]",5,1,0.836359728239597,0.848123113493774,15,15,0.716545643364405,0.938960741499897,15,1,0,0,0,0.466666666666667,0.533333333333333
"AMP1022","TRUE","[11,19]",5,1,0.684815781045588,0.702994752197884,3,3,0.515871021012008,0.835581569926873,3,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333
"AMP1023","TRUE","[11,19]",2,1,0.928640498169899,0.929469359581869,7,7,0.911553616841881,0.944543111992687,7,0,0,0,0,0,1
"AMP1025","TRUE","(19,26]",2,1,0.969914558882894,0.973268424959559,15,15,0.934396910503475,0.986739092136086,15,1,0,0,0,0,1
"AMP1026","TRUE","(19,26]",5,0.928571428571429,0.805489309611487,0.848998944210852,14,13,0.493438858327908,0.942141866206524,13,1,0,0,0.142857142857143,0.214285714285714,0.642857142857143
"AMP1027","TRUE","[11,19]",1,1,0.696531151028428,0.719896538255822,4,4,0.505302899415652,0.841028628186414,4,0,0,0,0.25,0.5,0.25
"AMP1028","TRUE","[11,19]",2,0.75,0.63129180235212,0.674344276012681,4,3,0.385635623536476,0.790843033846641,3,0,0,0.25,0,0.75,0
"AMP1029","TRUE","(26,36]",1,0.2,0.363133568017151,0.390953817750188,20,4,0.159447815989704,0.654638706948174,3,0,0.3,0.2,0.45,0.05,0
"AMP1030","TRUE","(19,26]",4,1,0.902075917485271,0.90759335328591,14,14,0.75896672367978,0.954971531903627,14,1,0,0,0,0.0714285714285714,0.928571428571429
"AMP1032","TRUE","[11,19]",5,1,0.830092714712463,0.822271395816408,6,6,0.789996997985089,0.896767380060638,6,0,0,0,0,0.333333333333333,0.666666666666667
"AMP1033","TRUE","[11,19]",1,1,0.643876942043719,0.644584575773822,4,4,0.588013089567445,0.698325527059789,4,0,0,0,0.5,0.5,0
"AMP1035","TRUE","(19,26]",4,1,0.891312082434157,0.907538477818678,11,11,0.665785456732466,0.939657218649056,11,1,0,0,0,0.0909090909090909,0.909090909090909
"AMP1036","TRUE","(19,26]",2,1,0.915701085308641,0.947085353746131,11,11,0.669371527310991,0.967313714018539,11,1,0,0,0,0.0909090909090909,0.909090909090909
"AMP1045","TRUE","(19,26]",3,1,0.703452206923111,0.674325574731183,11,11,0.567064276505105,0.833258050505562,11,1,0,0,0.0909090909090909,0.727272727272727,0.181818181818182
"AMP1046","TRUE","[11,19]",5,1,0.769484638396517,0.781915822504055,10,10,0.649838713382197,0.836114712271985,10,1,0,0,0,0.6,0.4
"AMP1047","TRUE","[11,19]",3,1,0.814249718675885,0.8176776655153,10,10,0.756716829391602,0.851122710670258,10,1,0,0,0,0.2,0.8
"AMP105","TRUE","(36,60]",5,0.567567567567568,0.527873419486234,0.556579026838644,37,21,0.129187705423169,0.927559698353554,11,2,0.162162162162162,0.216216216216216,0.243243243243243,0.189189189189189,0.189189189189189
"AMP1050","TRUE","(19,26]",4,0.909090909090909,0.714477917173299,0.714113467681091,11,10,0.442913358485086,0.887117351609645,6,0,0,0,0.181818181818182,0.545454545454545,0.272727272727273
"AMP1051","TRUE","[11,19]",3,1,0.863698039193667,0.868109748116332,4,4,0.840254944852733,0.878317715689269,4,0,0,0,0,0,1
"AMP1052","TRUE","(19,26]",1,1,0.923757978204575,0.909123806089371,15,15,0.806812135032521,0.997761375962383,15,1,0,0,0,0,1
"AMP1053","TRUE","[11,19]",1,1,0.647645354681535,0.643145497334848,4,4,0.523595178306138,0.780695245750306,4,0,0,0,0.5,0.5,0
"AMP1055","TRUE","(19,26]",2,1,0.950601018350295,0.955721502739893,15,15,0.865134608230842,0.98677097973582,15,1,0,0,0,0,1
"AMP1056","TRUE","(19,26]",4,0.933333333333333,0.882312174201457,0.947302281997806,15,14,0.369991327352313,0.998232459376578,14,1,0,0.0666666666666667,0,0.0666666666666667,0.866666666666667
"AMP1058","TRUE","[11,19]",5,1,0.823590906806827,0.838555235331992,4,4,0.767097025065733,0.850156131497592,4,0,0,0,0,0.25,0.75
"AMP1059","TRUE","[11,19]",2,1,0.85274887404442,0.86208438629405,6,6,0.778312744915398,0.882082766813475,6,0,0,0,0,0.166666666666667,0.833333333333333
"AMP106","TRUE","(19,26]",3,0.909090909090909,0.719184747717526,0.76425169753378,11,10,0.391657034977304,0.820779671918499,10,1,0,0.0909090909090909,0,0.636363636363636,0.272727272727273
"AMP1062","TRUE","(19,26]",2,1,0.957388738216891,0.965133811385864,15,15,0.867406076851368,0.995154678498462,15,1,0,0,0,0,1
"AMP1063","TRUE","(19,26]",4,1,0.914866455454336,0.920844446463406,15,15,0.782840947818579,0.9794582647187,15,1,0,0,0,0.0666666666666667,0.933333333333333
"AMP1064","TRUE","(19,26]",3,1,0.851043310525086,0.851041482873092,15,15,0.572348404841877,0.975620487686509,15,1,0,0,0.0666666666666667,0.133333333333333,0.8
"AMP1065","TRUE","(19,26]",4,1,0.936338863083399,0.952234595185259,15,15,0.804941350833416,0.98321868399545,15,1,0,0,0,0,1
"AMP1066","TRUE","[11,19]",4,0,0.403926967194658,0.415005067232865,4,0,0.321517625635176,0.464180108677726,0,0,0,0.25,0.75,0,0
"AMP1067","TRUE","[11,19]",3,1,0.682356110285559,0.675674620525319,4,4,0.62357919301362,0.754496007077977,4,0,0,0,0,1,0
"AMP1068","TRUE","(36,60]",4,0.571428571428571,0.505823807158996,0.550209409538066,42,24,0.116344043036771,0.836592096566772,13,1,0.166666666666667,0.214285714285714,0.19047619047619,0.357142857142857,0.0714285714285714
"AMP107","TRUE","(19,26]",5,1,0.827141125506855,0.850776673762577,14,14,0.637566563186896,0.899382490280067,14,1,0,0,0,0.214285714285714,0.785714285714286
"AMP1074","TRUE","[11,19]",2,0,0.135356482958064,0.130215118405536,6,0,0.0430967703667344,0.213867515966236,0,0,0.833333333333333,0.166666666666667,0,0,0
"AMP1077","TRUE","(60,710]",4,0.328125,0.453889068605849,0.439729800291414,64,21,0.104986262402712,0.864067244866168,15,1,0.109375,0.28125,0.375,0.140625,0.09375
"AMP1078","TRUE","(19,26]",1,0,0.099758710015883,0.0600132702157941,11,0,0.0232549278389931,0.257557889462631,0,0,0.909090909090909,0.0909090909090909,0,0,0
"AMP108","TRUE","[11,19]",5,0.333333333333333,0.48122678874257,0.491785933764435,3,1,0.410283443686544,0.54161098877673,1,0,0,0,1,0,0
"AMP1080","TRUE","(36,60]",1,0.774193548387097,0.633980726296203,0.654624438253465,31,24,0.316577809608062,0.89611169515575,12,2,0,0.129032258064516,0.290322580645161,0.387096774193548,0.193548387096774
"AMP1081","TRUE","(60,710]",5,0.375510204081633,0.437882008178884,0.428007839995738,245,92,0.0325280641449986,0.869567228532557,13,3,0.122448979591837,0.302040816326531,0.379591836734694,0.159183673469388,0.036734693877551
"AMP1082","TRUE","(60,710]",5,0.314285714285714,0.425573616279959,0.382818736398642,70,22,0.100553035474842,0.895679057912506,19,1,0.228571428571429,0.285714285714286,0.242857142857143,0.0714285714285714,0.171428571428571
"AMP1083","TRUE","(60,710]",1,0.276190476190476,0.377473048116018,0.319662444555277,105,29,0.110506181301071,0.733973557900873,13,2,0.0761904761904762,0.571428571428571,0.238095238095238,0.114285714285714,0
"AMP1089","TRUE","(36,60]",5,0.815789473684211,0.605339983628631,0.630735077112984,38,31,0.0596312547986516,0.926045776137571,31,1,0.131578947368421,0.0526315789473684,0.210526315789474,0.342105263157895,0.263157894736842
"AMP1090","TRUE","(36,60]",5,0.769230769230769,0.667704812368892,0.8381713023408,39,30,0.0336922638781678,0.940346211819375,30,1,0.205128205128205,0.0256410256410256,0.0256410256410256,0.179487179487179,0.564102564102564
"AMP1093","TRUE","(36,60]",2,0.424242424242424,0.439811696962528,0.448547370620771,33,14,0.127951543833456,0.810513903843031,10,1,0.121212121212121,0.303030303030303,0.363636363636364,0.181818181818182,0.0303030303030303
"AMP1094","TRUE","(60,710]",2,0.350877192982456,0.438835070114356,0.395715857164263,57,20,0.0951605598685824,0.78584507671457,11,1,0.105263157894737,0.403508771929825,0.192982456140351,0.298245614035088,0
"AMP1095","TRUE","(36,60]",1,0.638297872340426,0.556441082379465,0.618057226072942,47,30,0.123732611072305,0.934058161626046,20,2,0.148936170212766,0.191489361702128,0.148936170212766,0.25531914893617,0.25531914893617
"AMP1096","TRUE","(60,710]",4,0.0377358490566038,0.278755244358042,0.273954906455963,53,2,0.0611947949971068,0.624701623703366,2,0,0.283018867924528,0.566037735849057,0.132075471698113,0.0188679245283019,0
"AMP1099","TRUE","(19,26]",1,0.5625,0.424746245643195,0.508406554871812,16,9,0.0779515667595545,0.79135071200851,9,0,0.3125,0.125,0.25,0.3125,0
"AMP11","TRUE","(19,26]",5,1,0.968992590635486,0.971156662098328,11,11,0.942569456764272,0.983003196103272,11,1,0,0,0,0,1
"AMP110","TRUE","[11,19]",4,0.4,0.436392663789964,0.486950464195265,5,2,0.206689966543116,0.684437939518001,2,0,0,0.4,0.4,0.2,0
"AMP1100","TRUE","(36,60]",2,0.827586206896552,0.636235102372315,0.604223930305272,29,24,0.348966291255352,0.83713385615012,23,1,0,0.0344827586206897,0.379310344827586,0.413793103448276,0.172413793103448
